timestamps,TP9,AF7,AF8,TP10,Right AUX
1659298145.785,142.578,41.016,44.434,172.852,0.000
1659298145.789,137.695,53.711,47.852,158.691,0.000
1659298145.793,126.465,50.781,40.527,151.367,0.000
1659298145.797,128.906,55.664,39.062,165.039,0.000
1659298145.800,144.043,59.082,46.387,180.664,0.000
1659298145.804,144.043,54.199,52.734,170.410,0.000
1659298145.808,140.137,47.363,46.387,152.344,0.000
1659298145.812,145.996,52.246,35.156,152.344,0.000
1659298145.816,155.762,42.480,39.551,167.969,0.000
1659298145.820,143.066,25.391,34.180,169.922,0.000
1659298145.824,134.277,45.898,27.344,149.414,0.000
1659298145.828,128.906,54.199,29.297,146.973,0.000
1659298145.832,131.836,42.969,20.996,164.551,0.000
1659298145.836,141.113,42.480,21.973,169.434,0.000
1659298145.840,137.695,40.039,24.414,152.344,0.000
1659298145.843,132.812,36.621,22.949,154.785,0.000
1659298145.847,146.973,46.387,31.250,177.246,0.000
1659298145.851,154.297,51.270,38.086,181.641,0.000
1659298145.855,133.301,41.016,40.039,163.574,0.000
1659298145.859,127.441,39.551,43.945,159.668,0.000
1659298145.863,140.137,37.598,48.340,172.363,0.000
1659298145.867,145.508,38.574,47.852,186.035,0.000
1659298145.871,141.113,47.363,51.270,179.688,0.000
1659298145.875,137.207,47.852,57.617,166.016,0.000
1659298145.879,142.090,52.734,59.082,164.062,0.000
1659298145.882,145.996,58.105,45.898,166.504,0.000
1659298145.886,142.578,50.781,41.992,163.574,0.000
1659298145.890,140.625,52.734,50.293,160.156,0.000
1659298145.894,138.184,50.293,45.410,149.902,0.000
1659298145.898,150.879,49.805,38.086,159.180,0.000
1659298145.902,159.668,52.246,44.922,174.805,0.000
1659298145.906,140.625,47.852,53.711,162.598,0.000
1659298145.910,126.953,40.527,41.504,155.273,0.000
1659298145.914,130.371,36.133,33.203,159.180,0.000
1659298145.918,140.137,46.875,41.016,169.922,0.000
1659298145.921,131.348,61.035,42.969,161.621,0.000
1659298145.925,126.465,61.035,37.109,152.344,0.000
1659298145.929,141.113,57.129,37.109,157.715,0.000
1659298145.933,154.297,59.570,47.852,180.176,0.000
1659298145.937,145.020,56.152,52.734,183.105,0.000
1659298145.941,143.066,48.828,55.664,165.039,0.000
1659298145.945,154.785,54.199,59.570,173.828,0.000
1659298145.949,162.109,51.270,57.617,189.453,0.000
1659298145.953,155.273,49.316,57.617,182.129,0.000
1659298145.957,142.090,50.781,55.176,156.738,0.000
1659298145.961,148.438,55.176,61.035,154.785,0.000
1659298145.964,156.738,66.895,62.012,172.363,0.000
1659298145.968,160.645,75.684,58.594,185.547,0.000
1659298145.972,158.203,78.613,65.918,174.316,0.000
1659298145.976,157.715,73.242,67.871,178.711,0.000
1659298145.980,167.969,65.430,67.383,197.266,0.000
1659298145.984,166.992,57.129,55.176,193.848,0.000
1659298145.988,154.785,50.781,49.805,172.852,0.000
1659298145.992,151.367,44.922,54.199,167.969,0.000
1659298145.996,154.785,48.828,56.641,177.734,0.000
1659298146.000,150.879,58.105,60.059,187.500,0.000
1659298146.004,135.742,62.012,51.758,169.922,0.000
1659298146.007,134.766,59.082,53.711,161.133,0.000
1659298146.011,143.555,56.152,59.570,173.340,0.000
1659298146.015,146.484,56.152,45.898,189.941,0.000
1659298146.019,151.367,50.293,39.062,187.988,0.000
1659298146.023,140.137,40.527,47.852,170.898,0.000
1659298146.027,143.066,41.992,51.758,167.480,0.000
1659298146.031,153.320,55.664,39.062,177.246,0.000
1659298146.035,147.461,63.477,31.250,174.805,0.000
1659298146.039,128.418,73.242,41.504,159.668,0.000
1659298146.043,132.324,72.754,54.199,166.504,0.000
1659298146.047,140.625,68.848,55.664,168.945,0.000
1659298146.051,142.578,60.547,51.758,171.875,0.000
1659298146.054,140.137,61.523,54.688,171.875,0.000
1659298146.058,134.277,61.523,63.965,163.086,0.000
1659298146.062,132.324,53.711,65.918,163.574,0.000
1659298146.066,142.578,57.129,69.336,178.223,0.000
1659298146.070,147.461,58.594,71.777,177.734,0.000
1659298146.074,141.602,55.664,66.895,173.340,0.000
1659298146.078,141.113,54.688,61.035,165.527,0.000
1659298146.082,145.996,62.012,59.570,169.434,0.000
1659298146.086,151.367,71.777,62.500,179.199,0.000
1659298146.090,152.344,79.590,66.895,170.898,0.000
1659298146.093,147.461,69.336,61.523,167.480,0.000
1659298146.097,153.809,64.453,67.383,174.805,0.000
1659298146.101,162.598,76.660,83.496,197.754,0.000
1659298146.105,155.762,71.289,78.125,197.266,0.000
1659298146.109,155.273,70.312,70.312,184.082,0.000
1659298146.113,158.691,81.543,85.449,196.777,0.000
1659298146.117,161.621,73.730,93.262,214.355,0.000
1659298146.121,153.809,67.871,77.637,204.590,0.000
1659298146.125,153.809,77.148,70.801,187.012,0.000
1659298146.129,156.250,76.660,80.566,194.336,0.000
1659298146.133,147.461,65.430,94.727,212.402,0.000
1659298146.136,135.742,58.105,98.145,204.102,0.000
1659298146.140,138.672,62.988,106.934,192.383,0.000
1659298146.144,149.902,69.336,116.699,209.961,0.000
1659298146.148,145.020,65.430,118.652,222.168,0.000
1659298146.152,144.531,56.641,123.047,218.262,0.000
1659298146.156,142.090,59.570,124.512,208.496,0.000
1659298146.160,147.949,70.312,124.023,210.449,0.000
1659298146.164,160.156,67.871,128.418,219.727,0.000
1659298146.168,159.668,62.988,130.371,228.027,0.000
1659298146.172,151.367,69.824,123.047,216.797,0.000
1659298146.176,156.738,78.613,127.441,211.914,0.000
1659298146.180,168.945,80.078,128.906,216.797,0.000
1659298146.183,177.734,81.543,124.023,222.656,0.000
1659298146.187,177.246,79.102,140.137,222.656,0.000
1659298146.191,180.664,85.449,155.762,230.957,0.000
1659298146.195,192.383,89.355,159.668,235.840,0.000
1659298146.199,193.848,72.266,160.156,235.840,0.000
1659298146.203,186.523,83.984,160.156,236.328,0.000
1659298146.207,180.176,97.168,159.668,231.445,0.000
1659298146.211,182.129,91.797,162.598,233.887,0.000
1659298146.215,189.941,98.633,169.922,244.141,0.000
1659298146.219,189.941,105.469,174.805,253.418,0.000
1659298146.223,182.617,102.539,178.223,233.398,0.000
1659298146.226,181.152,100.098,183.594,218.262,0.000
1659298146.230,183.594,100.098,182.617,227.051,0.000
1659298146.234,194.824,105.957,185.547,242.676,0.000
1659298146.238,196.289,116.211,196.777,237.305,0.000
1659298146.242,192.383,120.117,204.590,227.539,0.000
1659298146.246,196.289,124.023,206.055,239.258,0.000
1659298146.250,208.496,128.418,207.031,256.836,0.000
1659298146.254,203.613,125.488,207.031,241.211,0.000
1659298146.258,191.895,119.629,212.891,223.145,0.000
1659298146.262,194.824,115.723,218.262,224.609,0.000
1659298146.266,202.637,113.770,211.426,237.793,0.000
1659298146.270,194.336,98.145,194.824,238.770,0.000
1659298146.273,184.570,97.656,188.477,208.984,0.000
1659298146.277,178.223,109.863,193.848,207.031,0.000
1659298146.281,180.176,117.676,199.219,226.074,0.000
1659298146.285,188.477,122.559,199.707,234.375,0.000
1659298146.289,174.316,117.188,194.824,215.820,0.000
1659298146.293,176.758,109.863,200.195,213.867,0.000
1659298146.297,188.477,107.910,206.543,231.445,0.000
1659298146.301,195.312,104.004,199.707,242.188,0.000
1659298146.305,194.336,100.586,201.660,227.051,0.000
1659298146.309,194.336,114.746,210.938,228.516,0.000
1659298146.313,198.730,124.512,213.867,235.352,0.000
1659298146.316,205.566,112.305,210.938,236.816,0.000
1659298146.320,206.543,112.305,211.426,237.793,0.000
1659298146.324,206.055,114.746,212.891,216.797,0.000
1659298146.328,201.172,99.121,211.426,211.426,0.000
1659298146.332,208.496,95.215,216.309,227.539,0.000
1659298146.336,217.773,107.422,221.191,245.117,0.000
1659298146.340,207.520,122.070,223.633,230.469,0.000
1659298146.344,206.055,119.141,227.051,228.516,0.000
1659298146.348,213.867,106.445,222.168,235.840,0.000
1659298146.352,225.586,115.723,222.656,246.582,0.000
1659298146.356,221.191,131.348,226.562,244.629,0.000
1659298146.359,216.797,134.766,222.656,239.746,0.000
1659298146.363,229.004,124.023,225.098,250.977,0.000
1659298146.367,235.840,117.188,231.934,266.602,0.000
1659298146.371,219.238,109.375,231.445,253.418,0.000
1659298146.375,210.449,106.445,225.098,238.770,0.000
1659298146.379,215.820,111.816,224.609,244.141,0.000
1659298146.383,225.098,116.211,218.262,260.254,0.000
1659298146.387,224.609,121.094,209.473,248.047,0.000
1659298146.391,226.074,116.211,211.914,224.609,0.000
1659298146.395,216.797,105.957,217.285,216.797,0.000
1659298146.399,205.078,103.027,218.262,222.168,0.000
1659298146.402,205.566,105.957,219.727,241.699,0.000
1659298146.406,201.660,112.793,215.820,233.887,0.000
1659298146.410,200.195,111.328,210.449,219.727,0.000
1659298146.414,203.125,100.586,215.332,232.910,0.000
1659298146.418,196.777,93.262,207.031,244.629,0.000
1659298146.422,188.965,94.727,199.219,220.215,0.000
1659298146.426,196.289,94.238,205.566,215.820,0.000
1659298146.430,197.754,87.402,214.844,241.211,0.000
1659298146.434,206.543,93.750,224.121,262.207,0.000
1659298146.438,207.031,97.656,220.703,236.816,0.000
1659298146.442,201.660,95.215,216.797,219.727,0.000
1659298146.445,201.172,91.309,220.703,229.492,0.000
1659298146.449,205.566,95.703,227.051,242.188,0.000
1659298146.453,202.637,100.586,226.074,236.816,0.000
1659298146.457,200.684,96.191,225.586,219.238,0.000
1659298146.461,203.125,101.074,237.793,227.539,0.000
1659298146.465,198.242,94.727,233.398,241.211,0.000
1659298146.469,194.336,78.613,216.797,241.699,0.000
1659298146.473,187.500,80.078,208.984,219.238,0.000
1659298146.477,184.082,91.309,208.984,213.379,0.000
1659298146.480,182.129,91.309,209.961,233.398,0.000
1659298146.484,195.312,97.168,210.938,250.000,0.000
1659298146.488,194.824,97.168,216.797,239.258,0.000
1659298146.492,190.918,93.262,216.309,233.887,0.000
1659298146.496,203.125,96.680,206.055,240.723,0.000
1659298146.500,211.426,90.820,197.754,255.371,0.000
1659298146.504,201.660,86.426,196.289,246.582,0.000
1659298146.508,199.707,87.891,208.496,230.469,0.000
1659298146.512,208.496,93.750,224.121,245.605,0.000
1659298146.516,221.680,85.449,230.957,261.719,0.000
1659298146.520,230.957,87.402,225.586,254.883,0.000
1659298146.524,214.844,107.422,219.727,238.770,0.000
1659298146.527,188.965,106.934,221.191,227.051,0.000
1659298146.531,192.383,100.586,222.656,230.957,0.000
1659298146.535,203.125,107.910,220.215,238.281,0.000
1659298146.539,188.477,104.980,214.844,225.586,0.000
1659298146.543,184.570,88.379,213.867,218.262,0.000
1659298146.547,203.613,94.238,219.238,228.516,0.000
1659298146.551,211.914,105.957,229.004,244.629,0.000
1659298146.555,194.824,97.656,229.492,228.027,0.000
1659298146.559,189.453,96.191,222.656,213.867,0.000
1659298146.563,192.871,101.074,217.285,217.285,0.000
1659298146.567,202.148,98.633,216.797,233.887,0.000
1659298146.570,204.102,96.191,211.426,232.910,0.000
1659298146.574,196.289,103.027,207.031,204.590,0.000
1659298146.578,187.012,104.004,212.402,196.289,0.000
1659298146.582,193.359,99.609,215.332,217.285,0.000
1659298146.586,193.359,95.215,207.520,218.750,0.000
1659298146.590,170.898,84.961,197.754,187.988,0.000
1659298146.594,167.969,84.473,190.918,175.293,0.000
1659298146.598,177.246,93.750,189.453,181.641,0.000
1659298146.602,184.570,98.145,191.895,192.871,0.000
1659298146.606,172.363,95.215,195.801,184.082,0.000
1659298146.610,169.434,93.750,208.496,185.547,0.000
1659298146.613,174.316,85.938,208.008,199.219,0.000
1659298146.617,185.059,79.590,191.406,201.660,0.000
1659298146.621,189.941,82.520,196.777,191.406,0.000
1659298146.625,176.758,74.219,204.102,197.266,0.000
1659298146.629,167.480,77.637,188.965,198.242,0.000
1659298146.633,175.293,92.285,182.617,207.031,0.000
1659298146.637,177.246,97.656,189.453,210.449,0.000
1659298146.641,169.922,92.773,193.848,186.523,0.000
1659298146.645,167.969,80.566,196.777,183.594,0.000
1659298146.649,175.781,77.637,189.941,193.848,0.000
1659298146.653,183.105,86.914,187.012,199.219,0.000
1659298146.656,168.457,89.355,195.801,195.312,0.000
1659298146.660,165.039,84.473,197.754,188.965,0.000
1659298146.664,176.270,84.473,195.312,191.406,0.000
1659298146.668,180.176,78.613,195.312,209.961,0.000
1659298146.672,174.316,73.730,193.848,204.102,0.000
1659298146.676,166.992,77.148,189.453,194.824,0.000
1659298146.680,169.434,83.008,191.406,202.148,0.000
1659298146.684,184.570,87.402,189.941,208.008,0.000
1659298146.688,181.641,81.055,186.523,206.543,0.000
1659298146.692,167.969,74.219,188.477,188.477,0.000
1659298146.695,165.527,70.801,186.523,185.059,0.000
1659298146.699,166.992,60.547,172.363,203.613,0.000
1659298146.703,170.410,63.965,171.875,208.496,0.000
1659298146.707,161.133,62.988,172.852,188.477,0.000
1659298146.711,151.855,55.664,166.992,173.340,0.000
1659298146.715,155.762,61.035,166.504,177.734,0.000
1659298146.719,159.180,73.242,162.109,187.500,0.000
1659298146.723,151.367,75.684,161.133,179.688,0.000
1659298146.727,154.297,72.266,160.645,165.039,0.000
1659298146.731,158.203,66.406,155.273,168.945,0.000
1659298146.735,156.250,60.547,145.996,180.176,0.000
1659298146.739,150.391,52.246,139.160,167.480,0.000
1659298146.742,138.184,41.992,138.184,160.156,0.000
1659298146.746,143.066,45.410,149.902,170.410,0.000
1659298146.750,157.227,61.523,159.668,182.129,0.000
1659298146.754,150.391,64.453,147.461,169.922,0.000
1659298146.758,142.090,65.430,145.508,162.598,0.000
1659298146.762,143.555,68.848,153.320,167.480,0.000
1659298146.766,156.738,76.660,151.367,181.641,0.000
1659298146.770,156.738,75.195,147.461,179.199,0.000
1659298146.774,146.484,69.824,145.996,166.504,0.000
1659298146.778,147.461,62.988,144.531,171.387,0.000
1659298146.781,151.855,54.199,140.625,177.734,0.000
1659298146.785,153.320,58.594,136.719,173.828,0.000
1659298146.789,141.602,63.965,139.648,162.109,0.000
1659298146.793,134.277,60.547,145.508,165.527,0.000
1659298146.797,139.648,63.477,143.066,170.410,0.000
1659298146.801,150.879,59.570,145.508,182.129,0.000
1659298146.805,152.344,58.105,148.438,182.129,0.000
1659298146.809,148.926,68.359,140.625,181.641,0.000
1659298146.813,147.461,67.871,134.766,173.828,0.000
1659298146.817,152.344,62.500,144.043,179.688,0.000
1659298146.821,146.484,56.641,144.043,186.523,0.000
1659298146.824,144.043,50.293,139.160,174.316,0.000
1659298146.828,150.391,63.477,146.973,177.734,0.000
1659298146.832,164.551,78.125,144.043,197.266,0.000
1659298146.836,166.504,74.707,141.602,201.660,0.000
1659298146.840,156.250,66.895,144.531,187.988,0.000
1659298146.844,151.855,59.082,139.648,176.758,0.000
1659298146.848,153.320,52.734,139.160,179.688,0.000
1659298146.852,166.016,52.734,146.484,190.430,0.000
1659298146.856,159.180,58.594,143.066,172.363,0.000
1659298146.860,145.996,53.711,141.113,160.156,0.000
1659298146.864,154.297,57.617,142.578,174.805,0.000
1659298146.868,165.039,61.523,144.043,194.336,0.000
1659298146.872,149.414,51.270,146.484,174.316,0.000
1659298146.876,144.531,58.105,149.902,159.668,0.000
1659298146.879,153.320,68.848,152.832,169.434,0.000
1659298146.883,156.250,67.383,148.926,174.805,0.000
1659298146.887,156.250,70.312,144.043,166.016,0.000
1659298146.891,151.855,68.359,145.020,148.438,0.000
1659298146.895,147.949,68.848,143.066,150.391,0.000
1659298146.899,157.227,71.289,131.348,172.363,0.000
1659298146.903,161.133,58.105,126.465,175.293,0.000
1659298146.907,145.508,49.316,130.371,152.832,0.000
1659298146.911,132.324,55.176,126.953,142.578,0.000
1659298146.915,137.207,63.477,124.023,153.809,0.000
1659298146.919,141.602,56.641,125.000,162.109,0.000
1659298146.922,121.094,46.387,125.000,149.414,0.000
1659298146.926,111.816,47.363,121.094,140.625,0.000
1659298146.930,111.816,45.410,118.164,146.973,0.000
1659298146.934,118.652,44.434,122.070,153.809,0.000
1659298146.938,121.094,44.922,130.859,147.461,0.000
1659298146.942,118.652,39.062,125.977,136.719,0.000
1659298146.946,120.117,38.574,112.793,135.742,0.000
1659298146.950,137.207,38.574,107.422,139.160,0.000
1659298146.954,143.555,37.109,107.422,136.230,0.000
1659298146.958,131.348,37.109,108.887,126.465,0.000
1659298146.962,127.930,40.527,106.934,129.883,0.000
1659298146.965,136.230,41.504,108.398,147.461,0.000
1659298146.969,147.949,43.945,111.816,166.992,0.000
1659298146.973,138.184,47.363,105.469,152.832,0.000
1659298146.977,124.512,40.039,99.121,134.277,0.000
1659298146.981,127.930,35.645,103.027,140.137,0.000
1659298146.985,135.254,34.668,107.422,151.855,0.000
1659298146.989,137.207,36.133,113.770,158.691,0.000
1659298146.993,131.836,26.367,109.375,148.926,0.000
1659298146.997,129.395,27.344,104.492,144.043,0.000
1659298147.000,140.137,39.551,106.445,158.203,0.000
1659298147.005,143.066,41.992,112.793,175.293,0.000
1659298147.008,136.719,45.898,116.211,173.340,0.000
1659298147.012,129.883,39.551,112.793,168.457,0.000
1659298147.016,142.090,32.715,111.816,173.828,0.000
